|id|name|a1|ratio|random_a1|random_ratio|random|bonus|name_mask|
|12|Подтягивание|1|0.01|10|3|5|0|VeryLowBoy|
|13|И2|60|0.3|10|10|5|0|VeryLowBoy|
|14|И1|30|0.15|10|10|5|0|VeryLowBoy|
|15|Простое отжимание|14|0.1|10|10|5|0|VeryLowBoy|
|16|Ступеньки|20|0.2|10|10|5|0|VeryLowBoy|
|17|Приседания|14|0.1|10|10|5|0|VeryLowBoy|
|18|Спринт|2|0.02|10|5|5|0|VeryLowBoy|
|19|Фоновый английский|12|0.1|10|5|5|0|VeryLowBoy|
|20|Конструктор|2|0.02|10|5|5|0|VeryLowBoy|
|21|Аудио|2|0.02|10|5|5|0|VeryLowBoy|
|22|Кроссворд|1|0.02|10|5|5|0|VeryLowBoy|
|23|Добавление|0|0.01|10|4|5|0|VeryLowBoy|
|24|Грамматика|0|0.02|10|4|5|0|VeryLowBoy|
|25|Грамматика 100%|0|0.01|10|4|5|0|VeryLowBoy|
|12|Подтягивание|2|0.01|12|3|5|0|LowBoy|
|13|И2|90|0.36|12|10|5|0|LowBoy|
|14|И1|45|0.18|12|10|5|0|LowBoy|
|15|Простое отжимание|19|0.15|12|10|5|0|LowBoy|
|16|Ступеньки|32|0.24|12|10|5|0|LowBoy|
|17|Приседания|19|0.15|12|10|5|0|LowBoy|
|18|Спринт|2|0.04|12|5|5|0|LowBoy|
|19|Фоновый английский|18|0.15|12|5|5|0|LowBoy|
|20|Конструктор|2|0.04|12|5|5|0|LowBoy|
|21|Аудио|2|0.04|12|5|5|0|LowBoy|
|22|Кроссворд|1|0.04|12|5|5|0|LowBoy|
|23|Добавление|0.1|0.03|12|4|5|0|LowBoy|
|24|Грамматика|0.3|0.03|12|4|5|0|LowBoy|
|25|Грамматика 100%|0.1|0.02|12|4|5|0|LowBoy|
|12|Подтягивание|2.5|0.04|12|4|5|0|MediumBoy|
|13|И2|110|0.4|12|12|5|0|MediumBoy|
|14|И1|55|0.2|12|12|5|0|MediumBoy|
