|id|name|a1|ratio|init_value|Type|bonus|random|id_player|	
|12|Подтягивание|8|0.03|0|P|4|5|331|
|13|И2|180|1.4|0|P|4|5|331|
|14|И1|90|0.7|0|P|4|5|331|
|15|Простое отжимание|50|0.4|0|P|4|5|331|
|16|Ступеньки|60|1|0|P|4|5|331|
|17|Приседания|54|0.48|0|P|4|5|331|
|18|Спринт|4|0.02|0|E|5|7|331|
|19|Фоновый английский|32|0.3|0|E|5|7|331|
|20|Конструктор|5|0.04|0|E|5|7|331|
|21|Аудио|5|0.04|0|E|5|7|331|
|22|Кроссворд|3|0.02|0|E|5|7|331|
|23|Добавление|2|0.02|0|E|5|10|331|
|24|Грамматика|2|0.03|0|E|5|10|331|
|25|Грамматика 100%|1|0.02|0|E|5|10|331|
|12|Подтягивание|5|0.02|0|P|5|5|332|
|13|И2|120|1|0|P|5|5|332|
|14|И1|60|0.5|0|P|5|5|332|
|15|Простое отжимание|28|0.25|0|P|4|4|332|
|16|Ступеньки|48|0.75|0|P|5|5|332|
|17|Приседания|38|0.45|0|P|5|5|332|
|18|Спринт|5|0.03|0|E|6|10|332|
|19|Фоновый английский|40|0.35|0|E|5|10|332|
|20|Конструктор|8.5|0.06|0|E|6|10|332|
|21|Аудио|7|0.06|0|E|5|10|332|
|22|Кроссворд|4|0.04|0|E|5|10|332|
|23|Добавление|2|0.03|0|E|5|15|332|
|24|Грамматика|2|0.03|0|E|5|15|332|
|25|Грамматика 100%|1|0.02|0|E|5|15|332|
|12|Подтягивание|3.2|0.02|0|P|2|4|333|
|13|И2|100|0.8|0|P|5|5|333|
|14|И1|50|0.4|0|P|5|5|333|
|15|Простое отжимание|30|0.22|0|P|4|5|333|
|16|Ступеньки|72|0.85|0|P|5|7|333|
|17|Приседания|35|0.25|0|P|4|5|333|
|18|Спринт|3|0.02|0|E|5|10|333|
|19|Фоновый английский|36|0.32|0|E|5|10|333|
|20|Конструктор|6|0.05|0|E|5|10|333|
|21|Аудио|8|0.07|0|E|6|10|333|
|22|Кроссворд|5|0.03|0|E|5|10|333|
|23|Добавление|1|0.02|0|E|5|12|333|
|24|Грамматика|2|0.03|0|E|5|12|333|
|25|Грамматика 100%|1.5|0.02|0|E|5|12|333|
|12|Подтягивание|4|0.02|0|P|3|3|334|
|13|И2|100|0.75|0|P|4|5|334|
|14|И1|100|0.75|0|P|5|7|334|
|15|Простое отжимание|36|0.3|0|P|4|5|334|
|16|Ступеньки|55|0.55|0|P|5|5|334|
|17|Приседания|32|0.31|0|P|4|5|334|
|18|Спринт|1|0.04|0|E|5|10|334|
|19|Фоновый английский|34|0.3|0|E|5|5|334|
|20|Конструктор|5|0.03|0|E|5|8|334|
|21|Аудио|5|0.03|0|E|5|8|334|
|22|Кроссворд|6|0.03|0|E|5|10|334|
|23|Добавление|2.3|0.01|0|E|5|12|334|
|24|Грамматика|2.4|0.02|0|E|5|12|334|
|25|Грамматика 100%|1|0.02|0|E|5|12|334|
|12|Подтягивание|6|0.02|0|P|5|5|335|
|13|И2|120|0.9|0|P|4|5|335|
|14|И1|60|0.45|0|P|4|5|335|
|15|Простое отжимание|25|0.1|0|P|3|3|335|
|16|Ступеньки|45|0.5|0|P|5|5|335|
|17|Приседания|45|0.4|0|P|4|5|335|
|18|Спринт|4|0.05|0|E|5|10|335|
|19|Фоновый английский|40|0.35|0|E|5|8|335|
|20|Конструктор|6|0.04|0|E|5|10|335|
|21|Аудио|6|0.03|0|E|5|10|335|
|22|Кроссворд|3|0.02|0|E|5|10|335|
|23|Добавление|1.5|0.02|0|E|4|15|335|
|24|Грамматика|0.7|0.03|0|E|5|15|335|
|25|Грамматика 100%|1|0.02|0|E|5|15|335|
|12|Подтягивание|5|0.03|0|P|5|10|336|
|13|И2|130|1|0|P|5|10|336|
|14|И1|95|0.6|0|P|7|12|336|
|15|Простое отжимание|40|0.3|0|P|4|10|336|
|16|Ступеньки|62|0.75|0|P|4|10|336|
|17|Приседания|55|0.65|0|P|4|10|336|
|18|Спринт|3|0.06|0|E|6|12|336|
|19|Фоновый английский|36|0.3|0|E|5|12|336|
|20|Конструктор|8|0.05|0|E|5|15|336|
|21|Аудио|8|0.04|0|E|5|15|336|
|22|Кроссворд|4|0.03|0|E|5|15|336|
|23|Добавление|2.5|0.03|0|E|5|18|336|
|24|Грамматика|1.5|0.02|0|E|5|18|336|
|25|Грамматика 100%|1.1|0.02|0|E|5|18|336|
|12|Подтягивание|3|0.04|0|P|5|2|337|
|13|И2|100|0.6|0|P|5|2|337|
|14|И1|80|0.5|0|P|5|8|337|
|15|Простое отжимание|50|0.4|0|P|5|2|337|
|16|Ступеньки|40|0.36|0|P|5|2|337|
|17|Приседания|50|0.4|0|P|5|2|337|
|18|Спринт|2|0.04|0|E|5|5|337|
|19|Фоновый английский|28|0.2|0|E|5|10|337|
|20|Конструктор|4|0.03|0|E|5|5|337|
|21|Аудио|5|0.03|0|E|5|5|337|
|22|Кроссворд|2|0.02|0|E|5|10|337|
|23|Добавление|0.5|0.02|0|E|5|10|337|
|24|Грамматика|1|0.03|0|E|5|10|337|
|25|Грамматика 100%|0.1|0.02|0|E|5|10|337|
|12|Подтягивание|5|0.02|0|P|5|5|338|
|13|И2|100|0.5|0|P|5|5|338|
|14|И1|50|0.25|0|P|5|5|338|
|15|Простое отжимание|30|0.32|0|P|5|5|338|
|16|Ступеньки|90|0.7|0|P|5|10|338|
|17|Приседания|40|0.38|0|P|5|5|338|
|18|Спринт|5|0.02|0|E|5|10|338|
|19|Фоновый английский|31|0.21|0|E|5|10|338|
|20|Конструктор|4|0.05|0|E|5|10|338|
|21|Аудио|3|0.04|0|E|5|10|338|
|22|Кроссворд|5|0.06|0|E|5|10|338|
|23|Добавление|3|0.02|0|E|5|10|338|
|24|Грамматика|1.2|0.02|0|E|5|10|338|
|25|Грамматика 100%|1|0.02|0|E|5|10|338|
|12|Подтягивание|6|0.03|0|P|5|5|339|
|13|И2|150|1|0|P|5|5|339|
|14|И1|75|0.5|0|P|5|5|339|
|15|Простое отжимание|60|0.2|0|P|5|5|339|
|16|Ступеньки|60|0.5|0|P|5|5|339|
|17|Приседания|60|0.25|0|P|5|5|339|
|18|Спринт|3|0.04|0|E|4|10|339|
|19|Фоновый английский|30|0.2|0|E|4|10|339|
|20|Конструктор|5|0.05|0|E|4|10|339|
|21|Аудио|4|0.05|0|E|4|10|339|
|22|Кроссворд|3|0.03|0|E|4|10|339|
|23|Добавление|2|0.02|0|E|4|10|339|
|24|Грамматика|1|0.01|0|E|4|10|339|
|25|Грамматика 100%|1|0.01|0|E|4|10|339|
|12|Подтягивание|4|0.01|0|P|3|10|340|
|13|И2|110|0.6|0|P|3|10|340|
|14|И1|55|0.3|0|P|3|10|340|
|15|Простое отжимание|30|0.25|0|P|2|10|340|
|16|Ступеньки|70|0.55|0|P|3|10|340|
|17|Приседания|30|0.25|0|P|2|12|340|
|18|Спринт|5|0.01|0|E|2|14|340|
|19|Фоновый английский|26|0.18|0|E|3|15|340|
|20|Конструктор|2|0.08|0|E|3|15|340|
|21|Аудио|3|0.07|0|E|3|15|340|
|22|Кроссворд|4|0.06|0|E|3|15|340|
|23|Добавление|1.6|0.03|0|E|2|20|340|
|24|Грамматика|1.2|0.02|0|E|2|20|340|
|25|Грамматика 100%|0.9|0.01|0|E|2|20|340|
|12|Подтягивание|8|0.02|0|P|0|2|341|
|13|И2|120|0.8|0|P|0|2|341|
|14|И1|60|0.4|0|P|0|2|341|
|15|Простое отжимание|50|0.3|0|P|0|2|341|
|16|Ступеньки|75|0.5|0|P|0|2|341|
|17|Приседания|50|0.3|0|P|0|2|341|
|18|Спринт|1|0.01|0|E|0|2|341|
|19|Фоновый английский|18|0.03|0|E|0|2|341|
|20|Конструктор|1|0.02|0|E|0|2|341|
|21|Аудио|1|0.02|0|E|0|2|341|
|22|Кроссворд|1|0.01|0|E|0|2|341|
|23|Добавление|0.2|0.01|0|E|0|2|341|
|24|Грамматика|0.2|0.01|0|E|0|2|341|
|25|Грамматика 100%|0|0.01|0|E|0|2|341|
|12|Подтягивание|5|0.03|0|P|0|2|342|
|13|И2|100|0.5|0|P|0|2|342|
|14|И1|50|0.25|0|P|0|2|342|
|15|Простое отжимание|40|0.2|0|P|0|2|342|
|16|Ступеньки|60|0.4|0|P|0|2|342|
|17|Приседания|40|0.2|0|P|0|2|342|
|18|Спринт|3|0.02|0|E|0|2|342|
|19|Фоновый английский|25|0.12|0|E|0|2|342|
|20|Конструктор|3|0.05|0|E|0|2|342|
|21|Аудио|3|0.05|0|E|0|2|342|
|22|Кроссворд|3|0.03|0|E|0|2|342|
|23|Добавление|0.5|0.02|0|E|0|2|342|
|24|Грамматика|0.8|0.02|0|E|0|2|342|
|25|Грамматика 100%|0.2|0.02|0|E|0|2|342|
|12|Подтягивание|5|0.03|0|P|0|2|343|
|13|И2|150|0.6|0|P|0|2|343|
|14|И1|75|0.3|0|P|0|2|343|
|15|Простое отжимание|48|0.25|0|P|0|2|343|
|16|Ступеньки|90|0.5|0|P|0|2|343|
|17|Приседания|50|0.26|0|P|0|2|343|
|18|Спринт|2|0.02|0|E|0|2|343|
|19|Фоновый английский|20|0.1|0|E|0|2|343|
|20|Конструктор|2|0.04|0|E|0|2|343|
|21|Аудио|2|0.05|0|E|0|2|343|
|22|Кроссворд|1|0.04|0|E|0|2|343|
|23|Добавление|0.2|0.02|0|E|0|2|343|
|24|Грамматика|0.2|0.02|0|E|0|2|343|
|25|Грамматика 100%|0.2|0.01|0|E|0|2|343|
|12|Подтягивание|2|0.01|0|P|0|2|344|
|13|И2|60|0.2|0|P|0|2|344|
|14|И1|30|0.1|0|P|0|2|344|
|15|Простое отжимание|18|0.09|0|P|0|2|344|
|16|Ступеньки|30|0.15|0|P|0|2|344|
|17|Приседания|18|0.09|0|P|0|2|344|
|18|Спринт|5|0.04|0|E|0|2|344|
|19|Фоновый английский|30|0.31|0|E|0|2|344|
|20|Конструктор|5|0.07|0|E|0|2|344|
|21|Аудио|5|0.07|0|E|0|2|344|
|22|Кроссворд|5|0.07|0|E|0|2|344|
|23|Добавление|2|0.03|0|E|0|2|344|
|24|Грамматика|1|0.03|0|E|0|2|344|
|25|Грамматика 100%|1|0.02|0|E|0|2|344|
|12|Подтягивание|4|0.04|0|P|0|2|345|
|13|И2|100|0.6|0|P|0|2|345|
|14|И1|100|0.5|0|P|0|2|345|
|15|Простое отжимание|32|0.2|0|P|0|2|345|
|16|Ступеньки|50|0.25|0|P|0|2|345|
|17|Приседания|38|0.24|0|P|0|2|345|
